localizador,DS_CARGO,0
"ABATIÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ABATIÁ,PARANÁ",SENADOR,SERGIO MORO
"ADRIANÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ADRIANÓPOLIS,PARANÁ",SENADOR,ALVARO DIAS
"AGUDOS DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"AGUDOS DO SUL,PARANÁ",SENADOR,SERGIO MORO
"ALMIRANTE TAMANDARÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALMIRANTE TAMANDARÉ,PARANÁ",SENADOR,SERGIO MORO
"ALTAMIRA DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALTAMIRA DO PARANÁ,PARANÁ",SENADOR,ALVARO DIAS
"ALTO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALTO PARANÁ,PARANÁ",SENADOR,SERGIO MORO
"ALTO PARAÍSO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALTO PARAÍSO,PARANÁ",SENADOR,SERGIO MORO
"ALTO PIQUIRI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALTO PIQUIRI,PARANÁ",SENADOR,PAULO MARTINS
"ALTÔNIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALTÔNIA,PARANÁ",SENADOR,PAULO MARTINS
"ALVORADA DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ALVORADA DO SUL,PARANÁ",SENADOR,PAULO MARTINS
"AMAPORÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"AMAPORÃ,PARANÁ",SENADOR,ALVARO DIAS
"AMPÉRE,PARANÁ",GOVERNADOR,REQUIÃO
"AMPÉRE,PARANÁ",SENADOR,ALVARO DIAS
"ANAHY,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ANAHY,PARANÁ",SENADOR,ALVARO DIAS
"ANDIRÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ANDIRÁ,PARANÁ",SENADOR,PAULO MARTINS
"ANTONINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ANTONINA,PARANÁ",SENADOR,SERGIO MORO
"ANTONIO OLINTO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ANTONIO OLINTO,PARANÁ",SENADOR,ALVARO DIAS
"APUCARANA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"APUCARANA,PARANÁ",SENADOR,SERGIO MORO
"ARAPONGAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ARAPONGAS,PARANÁ",SENADOR,PAULO MARTINS
"ARAPOTI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ARAPOTI,PARANÁ",SENADOR,SERGIO MORO
"ARAPUÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ARAPUÃ,PARANÁ",SENADOR,ALVARO DIAS
"ARARUNA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ARARUNA,PARANÁ",SENADOR,ALVARO DIAS
"ARAUCÁRIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ARAUCÁRIA,PARANÁ",SENADOR,SERGIO MORO
"ARIRANHA DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ARIRANHA DO IVAÍ,PARANÁ",SENADOR,ALINE SLEUTJES
"ASSAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ASSAÍ,PARANÁ",SENADOR,SERGIO MORO
"ASSIS CHATEAUBRIAND,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ASSIS CHATEAUBRIAND,PARANÁ",SENADOR,PAULO MARTINS
"ASTORGA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ASTORGA,PARANÁ",SENADOR,PAULO MARTINS
"ATALAIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ATALAIA,PARANÁ",SENADOR,ALINE SLEUTJES
"BALSA NOVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BALSA NOVA,PARANÁ",SENADOR,PAULO MARTINS
"BANDEIRANTES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BANDEIRANTES,PARANÁ",SENADOR,PAULO MARTINS
"BARBOSA FERRAZ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BARBOSA FERRAZ,PARANÁ",SENADOR,ALVARO DIAS
"BARRA DO JACARÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BARRA DO JACARÉ,PARANÁ",SENADOR,ALVARO DIAS
"BARRACÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BARRACÃO,PARANÁ",SENADOR,PAULO MARTINS
"BELA VISTA DA CAROBA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BELA VISTA DA CAROBA,PARANÁ",SENADOR,ALVARO DIAS
"BELA VISTA DO PARAÍSO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BELA VISTA DO PARAÍSO,PARANÁ",SENADOR,PAULO MARTINS
"BITURUNA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BITURUNA,PARANÁ",SENADOR,ALVARO DIAS
"BOA ESPERANÇA DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOA ESPERANÇA DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"BOA ESPERANÇA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOA ESPERANÇA,PARANÁ",SENADOR,PAULO MARTINS
"BOA VENTURA DE SÃO ROQUE,PARANÁ",GOVERNADOR,REQUIÃO
"BOA VENTURA DE SÃO ROQUE,PARANÁ",SENADOR,ROSANE FERREIRA
"BOA VISTA DA APARECIDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOA VISTA DA APARECIDA,PARANÁ",SENADOR,ALVARO DIAS
"BOCAIÚVA DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOCAIÚVA DO SUL,PARANÁ",SENADOR,SERGIO MORO
"BOM JESUS DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOM JESUS DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"BOM SUCESSO DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOM SUCESSO DO SUL,PARANÁ",SENADOR,PAULO MARTINS
